time,open,high,low,close,MA,MA,MA,MA,MA,MA,Volume,Volume MA,Histogram,MACD,Signal
2020-04-03T07:20:00Z,1053.771557,1056.297519,1051.790411,1053.424857,1056.784037,1055.267738,NaN,NaN,NaN,NaN,354666,140161,-0.038974088,-1.535973794,-1.496999706
2020-04-03T07:25:00Z,1053.573443,1055.455532,1053.3258,1054.266844,1056.555201,1055.017514,NaN,NaN,NaN,NaN,59611,133630.15,-0.051333212,-1.56116622,-1.509833009
2020-04-03T07:30:00Z,1053.969672,1057.535735,1053.078156,1056.941391,1056.590309,1055.498484,NaN,NaN,NaN,NaN,88783,129284.15,0.156916075,-1.313687914,-1.47060399
2020-04-03T07:35:00Z,1056.842334,1057.931964,1055.009774,1056.941391,1056.622226,1055.85921,NaN,NaN,NaN,NaN,84498,124961.1,0.291271942,-1.106514062,-1.397786004
2020-04-03T07:40:00Z,1056.941391,1061.250384,1056.644219,1058.328193,1056.777314,1056.476456,NaN,NaN,NaN,NaN,162645,126417.55,0.474557271,-0.804589416,-1.279146687
2020-04-03T07:45:00Z,1058.328193,1060.507454,1057.238563,1057.535735,1056.846261,1056.741276,NaN,NaN,NaN,NaN,124924,127163.85,0.515264995,-0.635065443,-1.150330438
2020-04-03T07:50:00Z,1057.931964,1059.764524,1056.495633,1056.941391,1056.854909,1056.791305,NaN,NaN,NaN,NaN,89399,123195.05,0.479103208,-0.551451428,-1.030554636
2020-04-03T07:55:00Z,1057.089977,1058.625365,1055.15836,1057.783378,1056.939315,1057.039323,NaN,NaN,NaN,NaN,101356,122718.25,0.502712001,-0.402164634,-0.904876635
2020-04-03T08:00:00Z,1057.931964,1059.714995,1057.139506,1058.031021,1057.038561,1057.287248,NaN,NaN,NaN,NaN,102162,122246.25,0.516637883,-0.259079281,-0.775717165
2020-04-03T08:05:00Z,1058.031021,1069.81884,1057.981493,1067.837694,1058.020301,1059.924859,NaN,NaN,NaN,NaN,517201,143987,1.230613606,0.762549843,-0.468063763
2020-04-03T08:10:00Z,1067.490993,1074.771705,1064.519274,1066.549949,1058.795723,1061.581132,NaN,NaN,NaN,NaN,370883,158355.35,1.51220628,1.422194087,-0.090012193
2020-04-03T08:15:00Z,1066.50042,1069.323554,1064.073517,1065.311733,1059.388088,1062.513782,NaN,NaN,NaN,NaN,174823,160243.75,1.511186745,1.798971238,0.287784493
2020-04-03T08:20:00Z,1065.311733,1067.441465,1058.922537,1059.021594,1059.35477,1061.640735,NaN,NaN,NaN,NaN,306274,171870.95,0.957824078,1.485064591,0.527240513
2020-04-03T08:25:00Z,1058.922537,1062.736243,1055.554589,1059.91311,1059.405528,1061.208829,NaN,NaN,NaN,NaN,213543,178320.2,0.623860622,1.307066291,0.683205668
2020-04-03T08:30:00Z,1059.714995,1061.795199,1057.832907,1060.111225,1059.469683,1060.934428,NaN,NaN,NaN,NaN,124716,172102.05,0.390978863,1.171929247,0.780950384
2020-04-03T08:35:00Z,1060.061696,1061.696141,1057.238563,1057.931964,1059.32989,1060.183812,NaN,NaN,NaN,NaN,127533,172192.8,0.056363841,0.851405186,0.795041344
2020-04-03T08:40:00Z,1057.931964,1058.82348,1051.988526,1057.931964,1059.202806,1059.62085,NaN,NaN,NaN,NaN,274686,176315.15,-0.161172226,0.593576062,0.754748288
2020-04-03T08:45:00Z,1057.436678,1059.566409,1053.424857,1057.139506,1059.015233,1059.000514,NaN,NaN,NaN,NaN,144861,179593.85,-0.352654663,0.31392996,0.666584622
2020-04-03T08:50:00Z,1057.189034,1059.516881,1055.653646,1057.931964,1058.916754,1058.733376,NaN,NaN,NaN,NaN,115970,181347.25,-0.399144702,0.167653745,0.566798447
